epoch,accuracy,auc,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,val_accuracy,val_auc,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity
0,0.6520446538925171,0.49890953302383423,0.6277977228164673,0.001,0.4749387204647064,0.4737979471683502,0.7706005573272705,0.36330991983413696,0.6730962991714478,0.2531161904335022,0.2531117796897888
1,0.742950439453125,0.6336360573768616,0.5573703646659851,0.001,0.6879537105560303,0.683495819568634,0.7706396579742432,0.3406642973423004,0.6710177659988403,0.2552450895309448,0.17244777083396912
2,0.7586132884025574,0.6639863848686218,0.5281089544296265,0.001,0.7098614573478699,0.7345653176307678,0.7706396579742432,0.31871455907821655,0.6685693264007568,0.13749533891677856,0.25511714816093445
3,0.7802221775054932,0.6873841881752014,0.5012903213500977,0.001,0.7303531765937805,0.7629820108413696,0.770642101764679,0.30856359004974365,0.6647326946258545,0.1475650668144226,0.1835865080356598
4,0.7903967499732971,0.7060540914535522,0.481526255607605,0.001,0.7612156867980957,0.7779498100280762,0.770642101764679,0.29929494857788086,0.6610472202301025,0.143796905875206,0.2185455709695816
